Crisis Pregnancy Center,Street Address,City,State,Zip,Affiliation,Website,Advertises APR?,Facebook,Twitter,Google+,YouTube,Pinterest,Instagram,LinkedIn
CARE NET PREGNANCY CENTER OF CENTRAL NEW YORK - LIVERPOOL,4268 Wetzel Road,Liverpool,NY,13090,,http://Care Netcares.com/,,,,,,,,
LOCKPORT CARE NET PREGNANCY CENTER,229 East Avenue,Lockport,NY,14094,Care Net,http://www.lockportCare Net.com/,,,,,,,,
CARE NET PREGNANCY CENTER OF NORTHERN NEW YORK - LOWVILLE,7637 North State Street,Lowville,NY,13667,Care Net,http://Care Netnny.com/,,,,,,,,
AAA PREGNANY OPTIONS - MASSAPEQUA,35 East Willow Street,Massapequa,NY,11758,Heartbeat International,http://www.aaapregnancyoptions.org/,Yes,,,,,,,
NEW LIFE CRISIS PREGNANCY CENTER,3349 Main Street,Mexico,NY,13114,,,,https://www.facebook.com/New-Life-Pregnancy-Center-230642443733477/,,,,,,
BIRTHRIGHT OF MIDDLETOWN,40 Grove Street,Middletown,NY,10940,Birthright International,http://birthright.org/en/landingpage/lp-middletown,,,,,,,,
MYCHOICE PREGNANCY CARE CENTER - MIDDLETOWN,18 Grove Street,Middletown,NY,10940,,http://mychoicepcc.com/,,https://www.facebook.com/mychoicepcc,https://twitter.com/mychoicepcc,,,,,
1ST WAY LIFE CENTER,"481 Broadway, Suite #3",Monticello,NY,12701,"The National Life Center, Inc.",http://www.1stwaylifecenter.org/,,,,,,,,
CARE NET PREGNANCY CENTER OF CENTRAL NEW YORK - MORRISVILLE,89 East Main Street,Morrisville,NY,13408,Care Net,http://www.CareNetcares.com/,,,,,,,,
"PREGNANCY RESOURCE CENTER OF THE VALLEYS, INC. - MT. MORRIS",83 Main Street,Mt. Morris,NY,14510,Care Net,http://www.prcvalleys.org/,,https://www.facebook.com/prcotv/,,,,,,
BIRTHRIGHT OF NANUET,257 South Middletown Road,Nanuet,NY,10954,Birthright International,http://birthright.org/en/landingpage/lp-nanuet,,,,,,,,
THE BRAVO CENTER OF ULSTER COUNTY - NEW PALTZ,"246 Main Street, Suite #9",New Paltz,NY,12561,Care Net,http://www.pscuc.org/,,https://www.facebook.com/pscuc1/,,,,,,
MYCHOICE PREGNANCY CARE CENTER - NEW WINDSOR,388 Blooming Grove Turnpike,New Windsor,NY,12583,Care Net,http://mychoicepcc.com/,,https://www.facebook.com/mychoicepcc,https://twitter.com/mychoicepcc,,,,,
CARE NET PREGNANCY CENTER OF WAYNE COUNTY - MAIN,1141 East Union Street,Newark,NY,14513,Care Net,http://Care Netofwaynecounty.com/,,,,,,,,
AVAIL NYC,115 West 45th Street,New York,NY,10036,,http://www.availnyc.org/,,,,,,,,
BETHANY CHRISTIAN SERVICES - NEW YORK,1115 Broadway,New York,NY,10010,Heartbeat International,https://www.bethany.org/new-york,Yes,,,,,,,
MATERNITY BIRTHCARE SERVICES,1011 1st Avenue,New York,NY,10022,,,,,,,,,,
PREGNANCY HELP NYC,229 West 14th Street,New York,NY,10011,,http://www.pregnancyhelpnyc.org/,,,,,,,,
VISITATION CENTER OF NEW YORK,257 East 71st Street,New York,NY,10021,,http://www.visitationcenterus.org/,,,,,,,,
"SUMMIT LIFE OUTREACH CENTER, INC.",1622 Pine Avenue,Niagra Falls,NY,14301,Heartbeat International,http://summitlifecenter.com/,Yes,,,,,,,
CARE NET PREGNANCY CENTER OF CENTRAL NEW YORK - ONEIDA,126 North Main Street,Oneida,NY,13421,Care Net,http://www.Care Netcares.com/,,,,,,,,
BIRTHRIGHT OF ONTARIO,2003 Ridge Road,Ontario,NY,14519,Birthright International,http://birthright.org/en/landingpage/lp-ontario,,,,,,,,
PREGNANCY CARE CENTER OF OSWEGO COUNTY,157 Liberty Street,Oswego,NY,13126,,http://oswegopregnancy.org/,,https://www.facebook.com/pccoswego/,https://twitter.com/OswegoPregnancy,,https://www.youtube.com/channel/UCABk8sQbjeaTXREK2nJghyw,,,
LIFE CHOICES CENTER - OWEGO,6 McMaster Street,Owego,NY,13827,Care Net,https://lifechoicescenter.org/,,,,,,,,
BIRTHRIGHT OF PEEKSKILL,826 South Street,Peekskill,NY,10566,Birthright International,http://birthright.org/en/landingpage/lp-peekskill,,,,,,,,
CARE NET PREGNANCY CENTER OF PENN YAN,"100 East Main Street, Suite #2",Penn Yan,NY,14527,Care Net,http://www.Care Netpy.com/,,,,,,,,
BIRTHRIGHT OF PLATTSBURGH,66 Clinton Street,Plattsburgh,NY,12901,Birthright International,http://birthright.org/en/landingpage/lp-plattsburgh,,,,,,,,
PLATTSBURGH PREGNANCY CENTER,"62 Brinkerhoff Street, Suite #103",Plattsburgh,NY,12901,,http://www.plattsburghpregnancycenter.org/,,,,,,,,
BIRTHRIGHT OF POUGHKEEPSIE,769 Main Street,Poughkeesie,NY,12603,Birthright International,http://birthright.org/en/landingpage/lp-poughkeepsie,,,,,,,,
CARE NET PREGNANCY CENTER OF HUDSON VALLEY,226 Church Street,Poughkeesie,NY,12601,Care Net,http://www.Care Netpregnancycenter.com/,,,,,,,,
FREE ABORTION ALTERNATIVES - RICHMOND HILL,"110-20 Jamaica Avenue, Suite #100",Richmond Hill,NY,11418,,http://freeabortionalternatives.com/,,,,,,,,
AAA PREGNANCY OPTIONS - RIVERHEAD,"524 East Main Street, Suite #200",Riverhead,NY,11901,Heartbeat International,http://www.aaapregnancyoptions.org/,Yes,,,,,,,
BETHANY CHRISTIAN SERVICES - ROCHESTER,321 East Avenue,Rochester,NY,14604,Heartbeat International,https://www.bethany.org/rochester,Yes,,,,,,,
BIRTHRIGHT OF ROCHESTER,"320 North Washington Street, Suite #116",Rochester,NY,14625,Birthright International,http://birthright.org/en/landingpage/lp-rochesternymain,,,,,,,,
COMPASSCARE PREGNANCY SERVICES,"2024 West Henrietta Road, Suite 6D",Rochester,NY,14623,,http://www.compasscare.info/,,,,,,,,
CROSSROADS PREGNANCY CENTER,10 Cedarfield Commons,Rochester,NY,14612,Care Net,http://www.greecepregnancy.com/,,,,,,,,
EMBRACING OPTIONS -  ROCHESTER,342 Arnett Boulevard,Rochester,NY,14619,Care Net,http://embracingoptions.org/site/,,,,,,,,
FOCUS PREGNANCY HELP CENTER,135 University Avenue,Rochester,NY,14605,,,,,,,,,,
PLACE OF HOPE PREGNANCY RESOURCE CENTER,916 North Goodman Street,Rochester,NY,14609,Care Net,http://www.placeofhopeprc.com/,,,,,,,,
BIRTHRIGHT OF ROCKY POINT,106 Prince Road,Rocky Point,NY,11778,Birthright International,http://birthright.org/en/landingpage/lp-rockypoint,,,,,,,,
CARE NET PREGNANCY CENTER OF CENTRAL NEW YORK - ROME,312 North James Street,Rome,NY,13440,Care Net,http://www.CareNetcares.com/,,,,,,,,
ALPHA PREGNANCY CENTER - SCHENECTADY,967 Albany Street,Schenectady,NY,12307,Care Net,http://www.alphacare.org/,,,,,,,,
BIRTHRIGHT OF SCHENECTADY,"12 Jay Street, Suite #1",Schenectady,NY,12305,Birthright International,http://birthright.org/en/landingpage/lp-schenectady,,,,,,,,
BIRTHRIGHT OF SIDNEY,20 East Main Street,Sidney,NY,13838,Birthright International,http://birthright.org/en/landingpage/lp-sidney,,,,,,,,
CARE NET PREGNANCY CENTER OF WAYNE COUNTY - SODUS,12 Maple Avenue,Sodus,NY,14551,Care Net,http://CareNetofwaynecounty.com/,,,,,,,,
BIRTHRIGHT OF SOUTHOLD,"53345 Route 25, Suite #10-2",Southold,NY,11971,Birthright International,http://birthright.org/en/landingpage/lp-southold,,,,,,,,
CARE NET PREGNANCY CENTER OF ROCKLAND,"2 Perlman Drive, Suite L9",Spring Valley,NY,10977,Care Net,http://www.CareNetrockland.com/,,,,,,,,
"CRISIS PREGNANCY CENTER OF NEW YORK, INC. ","3902 Amboy Road, 1st Floor",Staten Island,NY,10308,Care Net,http://www.cpcny.org/,,,,,,,,
PREGNANCY RESOURCE SERVICES,1152 Victory Boulevard,Staten Island,NY,10301,,http://sipregnancyoptions.com/,,,,,,,,
BIRTHRIGHT OF SYRACUSE,"346 North Midler Avenue, Suite #46",Syracuse,NY,13206,Birthright International,http://birthright.org/en/landingpage/lp-syracuse,,,,,,,,
"SONRAYS MINISTRIES, INC.",P.O. Box 673,Tonawanda,NY,14150,,http://www.sonraysministries.org/,,,,,,,,
ALIGHT CARE CENTER - TROY,"500 Federal Street, Suite #200",Troy,NY,12180,Heartbeat International,http://www.alight.org/?view=mobile,Yes,https://www.facebook.com/AlightCareCenterTroyNY/,,,,,https://www.instagram.com/alightcarecenter/,
CARE NET PREGNANCY CENTER OF CENTRAL NEW YORK - UTICA,2046 Genesee Street,Utica,NY,13502,Care Net,http://www.CareNetcares.com/,,,,,,,,
CARE NET PREGNANCY CENTER OF CENTRAL NEW YORK - UTICA,500 Plant Street,Utica,NY,13502,Care Net,http://www.CareNetcares.com/,,,,,,,,
WOMEN'S LIFE SERVICES,220 Front Street,Vestal,NY,13850,Heartbeat International,http://www.prcv.org/menu/,Yes,https://www.facebook.com/prcvestal,,,,,,
BIRTHRIGHT OF VICTOR,221 South High Street,Victor,NY,14564,Birthright International,http://birthright.org/en/landingpage/lp-victor,,,,,,,,
BIRTHRIGHT OF WANTAGH,1134-A Wantagh Avenue,Wantagh,NY,11793,Birthright International,http://birthright.org/en/landingpage/lp-wantagh,,,,,,,,
CARE NET PREGNANCY CENTER OF NORTHERN NEW YORK - WATERTOWN,724 State Street,Watertown,NY,13601,Care Net,http://Care Netnny.com/,,,,,,,,
EMBRACING OPTIONS - WEBSTER,35 Curtice Park,Webster,NY,14580,Care Net,http://www.embracingoptions.org/,,,,,,,,
BRIGHT ALTERNATIVES - WELLSVILLE,68 1/2 North Main Street,Wellsville,NY,14895,Heartbeat International,http://brightalternatives.org/,Yes,,,,,,,
CARE NET PREGNANCY CENTER OF WAYNE COUNTY - WOLCOTT,6025 New Hartford Street,Wolcott,NY,14590,Care Net,http://Care Netofwaynecounty.com/,,,,,,,,
EXPECTANT MOTHER CARE PREGNANCY CARE CENTER,61 Lewis Parkway,Yonkers,NY,10705,,https://emcfrontline.org/,,https://www.facebook.com/expectantmothercare/,,,,,,
CARING HEARTS OFFERING INFORMATION COMPASSION ENCOURAGEMENT AND SUPPORT (C.H.O.I.C.E.S.),12019 Old Olean Road,Yorkshire,NY,14173,Heartbeat International,http://www.choicesinfo.com/,Yes,,,,,,,
PREGNANCY CARE CENTER OF AHOSKIE,217 West Church Street,Ahoskie,NC,27910,,http://pccofahoskie.com/,,,,,,,,
PREGNANCY RESOURCE CENTER OF STANLY COUNTY,731 West Main Street,Albemarle,NC,28001,Care Net,http://www.prcstanly.com/,,https://www.facebook.com/prcstanly,https://twitter.com/prc_stanly,,,,,
PREGNANCY & PARENTING CENTER - ANDREWS,154 Main Street,Andrews,NC,28901,Care Net,http://www.pregnancyandparentingcenter.org/,,,,,,,,
BETHANY CHRISTIAN SERVICES - ARDEN,"142 Airport Road, Suite G",Arden,NC,28704,,https://www.bethany.org/asheville,,,,,,,,
YOUR CHOICES RANDOLPH,530 South Cox Street,Asheboro,NC,27203,Care Net,https://yourchoicesrandolph.org/,,https://www.facebook.com/yourchoicesrandolph1/,,,,,https://www.instagram.com/yourchoicesrandolph/?hl=en,
MOUNTAIN AREA PREGNANCY SERVICES - ASHEVILLE,1710 Old Haywood Road,Asheville,NC,28806,Care Net,http://www.preginfo.org/,,https://www.facebook.com/MountainAreaPregnancyServices,,,,,,
"CRISIS PREGNANCY CENTER OF GASTON COUNTY, INC. - NORTHWEST",2535 Tryon Courthouse Road,Bessemer City,NC,28016,Heartbeat International,http://cpcgaston.com/,Yes,,,,,,,
HOPE PREGNANCY RESOURCE CENTER,208 Howard Street,Boone,NC,28607,Care Net,http://choosehope.org/,,,,,,,,
THE CENTER FOR WOMEN,39 East Jordan Street,Brevard,NC,28712,Care Net,http://brevardwomenscenter.com/,,,,,,,,
MOUNTAIN AREA PREGNANCY SERVICES - BURNSVILLE,1910 Burnsville School Road,Burnsville,NC,28714,Heartbeat International,http://www.preginfo.org/,Yes,,,,,,,
LIFE CARE PREGNANCY CENTER,261 Niagara Carthage Road,Carthage,NC,28327,Care Net,http://www.lifecarepregnancy.com/,,,,,,,,
PREGNANCY SUPPORT SERVICES,1777 North Fordham Boulevard,Chapel HIll,NC,27514,Care Net,http://www.trianglepregnancysupport.com/,,,,,,,,
CAROLINA PREGNANCY CARE FELLOWSHIP,P.O. Box 38888,Charlotte,NC,28278,,http://cpcflink.org/,,,,,,,,
ICHOOSE PREGNANCY SUPPORT SERVICES - CLAYTON,540 Highway 42 W,Clayton,NC,27520,Care Net,http://www.ichoose.me/,,,,,,,,
NEW HOPE PREGNANCY CENTER,305 East Main Street,Clayton,NC,27520,,,,,,,,,,
HIS BLESSINGS PREGNANCY SUPPORT SERVICES,414 Northeast Boulevard,Clinton,NC,28328,,,,,,,,,,
CABARRUS WOMEN'S CENTER,163 Winecoff Avenue NW,Concord,NC,28025,,http://www.cabarruswomenscenter.com/,,https://www.facebook.com/cwcconcord/,,,,,,
GATE PREGNANCY RESOURCE CENTER - SATELLITE,3101 Davidson Highway,Concord,NC,28027,,http://gateprc.org/,,,,,,,,
SMOKY MOUNTAIN PREGNANCY CARE CENTER - CULLOWHEE,4699 Little Savannah Road,Cullowhee,NC,28723,,http://smpcc.org/,,,,,,,,
"CRISIS PREGNANCY CENTER OF GASTON COUNTY, INC. - NORTH ",717 Gastonia Technology Parkway,Dallas,NC,28034,Heartbeat International,http://cpcgaston.com/,Yes,,,,,,,
PREGNANCY CARE CENTER,4264 North Highway 16,Denver,NC,28037,,http://www.eastlincolnpcc.org/,,https://www.facebook.com/heartbeatspcc/?fb_dtsg_ag=AdxEAn4fBPSdT-uq56wZAcFF00QdC-937TMQQjKSoVev0w%3AAdznPFhc1wOSt_GW5uAred0NRDmaGdio5RHZ5U4wwU9xWw,https://twitter.com/PCC_answers,,,,,
"PREGNANCY CARE CENTER, INC.",302 South Drexel Street,Drexel,NC,28619,,http://www.pregnancycarecenterofburke.org/,,https://www.facebook.com/heartbeatspcc/?fb_dtsg_ag=AdxEAn4fBPSdT-uq56wZAcFF00QdC-937TMQQjKSoVev0w%3AAdznPFhc1wOSt_GW5uAred0NRDmaGdio5RHZ5U4wwU9xWw,https://twitter.com/PCC_answers,,,,,
ROCKINGHAM PREGNANCY CARE CENTER,424 West Kings Highway,Eden,NC,27288,Care Net,https://rpccares.com/,,,,,,,,
ALBEMARLE CRISIS PREGNANCY CENTER,316B South Broad Street,Edenton,NC,27932,Heartbeat International,,Yes,,,,,,,
ABLEMARLE PREGNANCY RESOURCE CENTER & CLINIC,201 East Ehringhaus Street,Elizabeth City,NC,27909,Heartbeat International,http://albemarleprc.org/,Yes,,,,,,,
LIFELINE PREGNANCY HELP CENTER,525 Samaritans Ridge Court,Elkin,NC,28621,Care Net,http://www.caring-helps.org/,,,,,,,,
AAA CRISIS PREGNANCY CENTER,1337 Ramsey Street,Fayetteville,NC,28301,,http://operationblessingfayetteville.org/what-we-do/,,,,,,,,
AGAPE PREGNANCY SUPPORT SERVICES,710 East Russell Street,Fayetteville,NC,28301,,,,https://www.facebook.com/Agape-Pregnancy-Support-Services-121541917922203/,,,,,,
"HANDS OF HOPE FOR LIFE, INC.",129 North Powell Street,Forest City,NC,28043,Care Net,https://sites.google.com/site/handsofhope4life/,,,,,,,,
SMOKY MOUNTAIN PREGNANCY CARE CENTER - FRANKLIN,226 East Palmer Street,Franklin,NC,28734,Heartbeat International,http://smpcc.org/,Yes,,,,,,,
YOUR CHOICE PREGNANCY CLINIC - FUQUAY VARINA,607 North Ennis Street,Fuqay-Varina,NC,27526,Care Net,http://yourchoicepregnancyclinic.com/,,,,,,,,
"CRISIS PREGNANCY CENTER OF GASTON COUNTY, INC. - MAIN",700 Robinson Road,Gastonia,NC,28054,Heartbeat International,http://cpcgaston.com/,Yes,,,,,,,
"CRISIS PREGNANCY CENTER OF GASTON COUNTY, INC. - WEST",2782 Fairview Drive,Gastonia,NC,28052,Heartbeat International,http://cpcgaston.com/,Yes,,,,,,,
WAYNE PREGNANCY CARE CENTER,2003 East Ash Street,Goldsboro,NC,27530,Care Net,http://www.waynepregnancycarecenter.com/,,,,,,,,
A HEART'S CRY,306 South Main Street,Graham,NC,27253,,http://www.engagesmc.org/aheartscry/,,,,,,,,
THE PREGNANCY NETWORK,625 Fulton Street,Greensboro,NC,27401,,https://thepregnancynetwork.org/,,https://www.facebook.com/ThePregnancyNetwork/,https://twitter.com/ThePregNetwork,,https://www.youtube.com/channel/UCAJ78w1ox1_eKuEMioJ8QqQ?view_as=subscriber,https://www.pinterest.com/ThePregnancyNetwork/,https://www.instagram.com/thepregnancynetwork/,
CAROLINA PREGNANCY CENTER,1012 Charles Boulevard,Greenville,NC,27858,Care Net,http://www.carolinapregnancycenter.org/,,,,,,,,
GATE PREGNANCY RESOURCE CENTER - HARRISBURG,3824 Highway 49 S,Harrisburg,NC,28075,Care Net,http://gateprc.org/,,,,,,,,
HAVELOCK PREGNANCY RESOURCE CENTER,"925 East Main Street, Suite #18",Havelock,NC,28532,Care Net,http://havelockprc.org/,,,,,,,,
OPEN ARMS PREGNANCY CENTER,329 North Washington Street,Hendersonville,NC,28739,,https://www.openarms329.com/,,http://www.facebook.com/openarms329,,,,https://www.pinterest.com/login/?next=https%3A%2F%2Fwww.pinterest.com%2Fopenarms329%2F&prev=https%3A%2F%2Fwww.pinterest.com%2Fopenarms329%2F,https://www.instagram.com/openarms329/,
PREGNANCY CARE CENTER OF CATAWBA VALLEY,421 Main Avenue SW,Hickory,NC,28602,Care Net,http://www.pcchickory.com/,,,,,,,,
NEW LIFE FAMILY OUTREACH,212 North Lindsay Street,High Point,NC,27262,Care Net,http://www.newlifehighpoint.org/,,,,,,,,
ONSLOW PREGNANCY RESOURCE CENTER,3280 A Henderson Drive,Jacksonville,NC,28546,Heartbeat International,http://onslowpregnancyresources.com/,Yes,https://www.facebook.com/onslowpregnancyresourcecenter1/?fref=ts,,,,,https://www.instagram.com/onslowpregnancyresourcecenter/,
ASHE PREGNANCY CARE CENTER,111 North Main Street,Jefferson,NC,28640,Heartbeat International,https://sites.google.com/site/ashepregnancycarecenter/home,Yes,,,,,,,
HOPE PREGNANCY CARE CENTER,117 Charles Road,King,NC,27021,,https://hopepcc.org/,,,,,,,,
THE EPIC CENTER (EASTERN PREGNANCY INFORMATION CLINIC) - KINSTON,304 North Queen Street,Kinston,NC,28501,Care Net,https://www.easternpregnancy.net/,,,,,,,,
ICHOOSE PREGNANCY SUPPORT SERVICES - KNIGHTDALE,4019 Village Park Drive,Knightdale,NC,27545,,http://www.ichoose.me/,,,,,,,,
CALDWELL PREGNANCY CARE CENTER,301 Connelly Springs Road,Lenoir,NC,28645,Care Net,http://www.caldwellpregnancycare.org/,,https://www.facebook.com/Caldwell-Pregnancy-Care-Center-114959638535778/?fref=ts,,,,,,
"ALPHA PREGNANCY SUPPORT, INC. ","23 West 3rd Street, Suite B",Lexington,NC,27292,Heartbeat International,http://www.alphapregnancysupport.com/,Yes,,,,,,,
CRISIS PREGNANCY CENTER OF LINCOLN COUNTY,112 Doctors Park,Lincolnton,NC,28092,Heartbeat International,http://www.cpclincolnco.com/,Yes,,,,,,,
HIS LITTLE ONES PREGNANCY SUPPORT SERVICES,500 Peterson Drive,Lumberton,NC,28358,,,,,,,,,,
MOUNTAIN AREA PREGNANCY SERVICES - MARION,40 South Main Street,Marion,NC,28752,Care Net,http://www.preginfo.org/,,,,,,,,
MOUNTAIN AREA PREGNANCY SERVICES - MARS HILL,105 Chestnut Street,Mars Hill,NC,28754,Care Net,http://www.preginfo.org/,,,,,,,,
DAVIE PREGNANCY CARE CENTER,491 Madison Road,Mocksville,NC,27028,Care Net,http://daviepregnancycare.org/,,,,,,,,
H.E.L.P. CRISIS PREGNANCY CENTER,1700 Secrest Shortcut Road,Monroe,NC,28110,Heartbeat International,http://monroehelp.com/en/home/,Yes,,,,,,,
COMMUNITY PREGNANCY CENTER OF LAKE NORMAN,212 Caldwell Avenue,Mooresville,NC,28117,Heartbeat International,http://lakenormancpc.org/,Yes,,,,,,,
COASTAL PREGNANCY CARE CENTER,"5447 Highway 70 W, Suite #101",Morehead City,NC,28557,Care Net,http://cpccenter.org/,,,,,,,,
THE LEGACY CENTER,"707 West Pine Street, Suite #900",Mount Airy,NC,27030,Care Net,http://www.legacymtairy.org/,,,,,,,,
"CRISIS PREGNANCY CENTER OF GASTON COUNTY, INC. - EAST",399 Belmont Mt. Holly Road,Mt. Holly,NC,28120,,http://cpcgaston.com/,,,,,,,,
PREGNANCY & PARENTING CENTER - MURPHY,128 Tennessee Street,Murphy,NC,28906,Care Net,http://www.pregnancyandparentingcenter.org/,,,,,,,,
CREATIVE CHOICE PREGNANCY RESOURCE CENTER,"4711 South Croatan Highway, Unit #2",Nags Head,NC,27959,Care Net,http://www.obxcrisispregnancy.com/,,,,,,,,
THE EPIC CENTER (EASTERN PREGNANCY INFORMATION CLINIC) - NEW BERN,"1505 South Glenburnie Road, Suite O",New Bern,NC,28560,Care Net,https://www.easternpregnancy.net/,,,,,,,,
AVERY PREGNANCY & RESOURCE CENTER,1808 Millers Gap Highway,Newland,NC,28657,,,,,,,,,,
HOPE PREGNANCY RESOURCE CENTER,19 Williams Street,Polkton,NC,28135,Heartbeat International,http://hprc-anson.org/,Yes,,,,,,,
BETHANY CHRISTIAN SERVICES - RALEIGH,"4008 Barrett Drive, Suite #206",Raleigh,NC,27609,Heartbeat International,https://www.bethany.org/raleigh,Yes,,,,,,,
BIRTHCHOICE,"2304 Wesvill Court, Suite #340",Raleigh,NC,27607,Heartbeat International,http://birthchoicewake.org/,Yes,,,,,,,
CURA WOMEN'S CLINIC - RALEIGH,"4237 Louisburg Road, Suite #105",Raleigh,NC,27604,,http://curawomens.clinic/,,,,,,,,
GATEWAY,1306 Hillsborough Street,Raleigh,NC,27605,Heartbeat International,http://www.gatewaycampus.org/,Yes,,,,,,,
YOUR CHOICE PREGNANCY CLINIC - RALEIGH,1701 Jones Franklin Road,Raleigh,NC,27606,,http://yourchoicepregnancyclinic.com/,,,,,,,,
PREGNANCY SUPPORT CENTER,1070 East 10th Street,Roanoke Rapids,NC,27870,Care Net,http://www.mypregnancyoptions.org/,,,,,,,,
PEE DEE PREGNANCY RESOURCE CENTER,110 North Lawrence Street,Rockingham,NC,28379,Heartbeat International,http://pregnantwhatnow.org/,Yes,,,,,,,
YOUR CHOICE RESOURCE CENTER,400 Sunset Avenue,Rocky Mount,NC,27804,Care Net,http://yourchoicenc.org/,,,,,,,,
PREGNANCY SUPPORT CENTER,847 South Main Street,Salisbury,NC,28144,Care Net,http://www.pregnancysupport.com/,,,,,,,,
REACH OUT CRISIS PREGNANCY CENTER,"507 North Steele Street, Room 306",Sanford,NC,27330,Care Net,http://www.reachoutcpc.com/,,,,,,,,
"PREGNANCY RESOURCE CENTER OF CLEVELAND COUNTY, INC.",1304 South Post Road,Shelby,NC,28150,Care Net,https://www.prccc.org/,,,,,,,,
IN HIS HANDS PREGNANCY SUPPORT CENTER,13 Dail Street,Smithfield,NC,27577,Heartbeat International,http://inhishandspsc.cfsites.org/,Yes,,,,,,,
ALLEGHANY PREGNANCY CARE CENTER,226 South Main Street,Sparta,NC,28675,Heartbeat International,http://www.alleghanypregnancycarecenter.com/cgi-sys/defaultwebpage.cgi,Yes,https://www.facebook.com/AlleghanyPregnancyCareCenter,,,,,,
PREGNANCY RESOUCE CENTER OF STATESVILLE,"1710 Davie Avenue, Suite B",Statesville,NC,28677,Heartbeat International,http://prcstatesville.org/,Yes,,,,,,,
CARING HEARTS PREGNANCY CENTER,135 7th Street SW,Taylorsville,NC,28681,Care Net,http://www.caringheartspc.com/,,https://www.facebook.com/CaringHeartsPregnancyCenter,,,,,,
COASTAL PREGNANCY CENTER,1312 John Small Avenue,Washington,NC,27889,Care Net,http://www.coastalpregnancycenter.org/,,,,,,,,
LIVING HOPE PREGNANCY SUPPORT SERVICES,116 Premiere Plaza,Whiteville,NC,28472,Care Net,http://www.livinghopepregnancyservices.com/,,,,,,,,
WILKES PREGNANCY CARE CENTER,1224 School Street,Wilkesboro,NC,28697,Care Net,http://www.wilkespcc.com/,,,,,,,,
LIFE LINE PREGNANCY CENTER,4522 Fountain Drive,Wilmington,NC,28403,Care Net,http://www.lifelinewilmington.org/,,,,,,,,
WILSON PREGNANCY CENTER,702 Broad Street W,Wilson,NC,27893,Care Net,http://www.wilsonpregnancycenter.com/,,,,,,,,
BIRTHRIGHT OF WINSTON-SALEM,1330 Ashley Square,Winston-Salem,NC,27103,Birthright International,http://birthright.org/en/landingpage/lp-winstonsalem,,,,,,,,
SALEM PREGNANCY CARE CENTER,1342 Westgate Center Drive,Winston-Salem,NC,27103,Heartbeat International,http://salempregnancy.org/,Yes,https://www.facebook.com/groups/65251841110/,,,https://www.youtube.com/watch?v=VRaO90_kK18&feature=related,,,
